id,name,city,iata,region
3411,Barter Island LRRS Airport,Barter Island,BTI,Anchorage
3412,Wainwright Air Station,Fort Wainwright,\N,Anchorage
3413,Cape Lisburne LRRS Airport,Cape Lisburne,LUR,Anchorage
3414,Point Lay LRRS Airport,Point Lay,PIZ,Anchorage
3415,Hilo International Airport,Hilo,ITO,Pacific/Honolulu
3416,Orlando Executive Airport,Orlando,ORL,New York
3417,Bettles Airport,Bettles,BTT,Anchorage
3418,Clear Airport,Clear Mews,\N,Anchorage
3419,Indian Mountain LRRS Airport,Indian Mountains,UTO,Anchorage
3420,Fort Yukon Airport,Fort Yukon,FYU,Anchorage
3421,Sparrevohn LRRS Airport,Sparrevohn,SVW,Anchorage
3422,Bryant Army Heliport,Fort Richardson,FRN,Anchorage
3423,Tatalina LRRS Airport,Tatalina,TLJ,Anchorage
3424,Cape Romanzof LRRS Airport,Cape Romanzof,CZF,Anchorage
3425,Laurence G Hanscom Field,Bedford,BED,New York
3426,St Paul Island Airport,St. Paul Island,SNP,Anchorage
3427,Cape Newenham LRRS Airport,Cape Newenham,EHM,Anchorage
3428,St George Airport,Point Barrow,STG,Anchorage
3429,Iliamna Airport,Iliamna,ILI,Anchorage
3430,Platinum Airport,Port Moller,PTU,Anchorage
3431,Big Mountain Airport,Big Mountain,BMX,Anchorage
3432,Oscoda Wurtsmith Airport,Oscoda,OSC,New York
3433,Marina Municipal Airport,Fort Ord,OAR,Los Angeles
3434,Sacramento Mather Airport,Sacramento,MHR,Los Angeles
3435,Bicycle Lake Army Air Field,Fort Irwin,BYS,Los Angeles
3436,Twentynine Palms (Self) Airport,Twenty Nine Palms,\N,Los Angeles
3437,Fort Smith Regional Airport,Fort Smith,FSM,Chicago
3438,Merrill Field,Anchorage,MRI,Anchorage
3439,Grants-Milan Municipal Airport,Grants,GNT,Denver
3440,Ponca City Regional Airport,Ponca City,PNC,Chicago
3441,Hunter Army Air Field,Hunter Aaf,SVN,New York
3442,Grand Forks International Airport,Grand Forks,GFK,Chicago
3443,"Pine Bluff Regional Airport, Grider Field",Pine Bluff,PBF,Chicago
3444,Whiting Field Naval Air Station - North,Milton,NSE,Chicago
3445,Hana Airport,Hana,HNM,Pacific/Honolulu
3446,Ernest A. Love Field,Prescott,PRC,Phoenix
3447,Trenton Mercer Airport,Trenton,TTN,New York
3448,General Edward Lawrence Logan International Airport,Boston,BOS,New York
3449,Travis Air Force Base,Fairfield,SUU,Los Angeles
3450,Griffiss International Airport,Rome,RME,New York
3451,Wendover Airport,Wendover,ENV,Denver
3452,Mobile Downtown Airport,Mobile,BFM,Chicago
3453,Metropolitan Oakland International Airport,Oakland,OAK,Los Angeles
3454,Eppley Airfield,Omaha,OMA,Chicago
3455,Port Angeles Cgas Airport,Port Angeles,\N,Los Angeles
3456,Kahului Airport,Kahului,OGG,Pacific/Honolulu
3457,Wichita Eisenhower National Airport,Wichita,ICT,Chicago
3458,Kansas City International Airport,Kansas City,MCI,Chicago
3459,Dane County Regional Truax Field,Madison,MSN,Chicago
3460,Dillingham Airport,Dillingham,DLG,Anchorage
3461,Boone County Airport,Harrison,HRO,Chicago
3462,Phoenix Sky Harbor International Airport,Phoenix,PHX,Phoenix
3463,Bangor International Airport,Bangor,BGR,New York
3464,Fort Lauderdale Executive Airport,Fort Lauderdale,FXE,New York
3465,East Texas Regional Airport,Longview,GGG,Chicago
3466,Anderson Regional Airport,Andersen,AND,New York
3467,Spokane International Airport,Spokane,GEG,Los Angeles
3468,North Perry Airport,Hollywood,HWO,New York
3469,San Francisco International Airport,San Francisco,SFO,Los Angeles
3470,Cut Bank International Airport,Cutbank,CTB,Denver
3471,Acadiana Regional Airport,Louisiana,ARA,Chicago
3472,Gainesville Regional Airport,Gainesville,GNV,New York
3473,Memphis International Airport,Memphis,MEM,Chicago
3474,Bisbee Douglas International Airport,Douglas,DUG,Phoenix
3475,Allen Army Airfield,Delta Junction,BIG,Anchorage
3476,TSTC Waco Airport,Waco,CNW,Chicago
3477,Annette Island Airport,Annette Island,ANN,Anchorage
3478,Caribou Municipal Airport,Caribou,CAR,New York
3479,Little Rock Air Force Base,Jacksonville,LRF,Chicago
3480,Redstone Army Air Field,Redstone,HUA,Chicago
3481,Pope Field,Fort Bragg,POB,New York
3482,Dalhart Municipal Airport,Dalhart,DHT,Chicago
3483,DLF Airport,Del Rio,DLF,Chicago
3484,Los Angeles International Airport,Los Angeles,LAX,Los Angeles
3485,Anniston Regional Airport,Anniston,ANB,Chicago
3486,Cleveland Hopkins International Airport,Cleveland,CLE,New York
3487,Dover Air Force Base,Dover,DOV,New York
3488,Cincinnati Northern Kentucky International Airport,Cincinnati,CVG,New York
3489,Tipton Airport,Fort Meade,FME,New York
3490,China Lake Naws (Armitage Field) Airport,China Lake,\N,Los Angeles
3491,Huron Regional Airport,Huron,HON,Chicago
3492,Juneau International Airport,Juneau,JNU,Anchorage
3493,Lafayette Regional Airport,Lafayette,LFT,Chicago
3494,Newark Liberty International Airport,Newark,EWR,New York
3495,Boise Air Terminal/Gowen Field,Boise,BOI,Denver
3496,Creech Air Force Base,Indian Springs,INS,Los Angeles
3497,Garden City Regional Airport,Garden City,GCK,Chicago
3498,Minot International Airport,Minot,MOT,Chicago
3499,Wheeler Army Airfield,Wahiawa,HHI,Pacific/Honolulu
3500,Maxwell Air Force Base,Montgomery,MXF,Chicago
3501,Robinson Army Air Field,Robinson,\N,Chicago
3502,Dallas Love Field,Dallas,DAL,Chicago
3503,Butts AAF (Fort Carson) Air Field,Fort Carson,FCS,Denver
3504,Helena Regional Airport,Helena,HLN,Denver
3505,Miramar Marine Corps Air Station - Mitscher Field,Miramar,NKX,Los Angeles
3506,Luke Air Force Base,Phoenix,LUF,Phoenix
3507,Hurlburt Field,Mary Esther,\N,Chicago
3508,Jack Northrop Field Hawthorne Municipal Airport,Hawthorne,HHR,Los Angeles
3509,Houlton International Airport,Houlton,HUL,New York
3510,Vance Air Force Base,Enid,END,Chicago
3511,Point Mugu Naval Air Station (Naval Base Ventura Co),Point Mugu,NTD,Los Angeles
3512,Edwards Air Force Base,Edwards Afb,EDW,Los Angeles
3513,Lake Charles Regional Airport,Lake Charles,LCH,Chicago
3514,Ellison Onizuka Kona International At Keahole Airport,Kona,KOA,Pacific/Honolulu
3515,Myrtle Beach International Airport,Myrtle Beach,MYR,New York
3516,Lemoore Naval Air Station (Reeves Field) Airport,Lemoore,NLC,Los Angeles
3517,Nantucket Memorial Airport,Nantucket,ACK,New York
3518,Felker Army Air Field,Fort Eustis,FAF,New York
3519,Campbell AAF (Fort Campbell) Air Field,Hopkinsville,HOP,Chicago
3520,Ronald Reagan Washington National Airport,Washington,DCA,New York
3521,Patuxent River Naval Air Station (Trapnell Field),Patuxent River,NHK,New York
3522,Palacios Municipal Airport,Palacios,PSX,Chicago
3523,Arkansas International Airport,Blytheville,BYH,Chicago
3524,Atlantic City International Airport,Atlantic City,ACY,New York
3525,Tinker Air Force Base,Oklahoma City,TIK,Chicago
3526,Elizabeth City Regional Airport & Coast Guard Air Station,Elizabeth City,ECG,New York
3527,Pueblo Memorial Airport,Pueblo,PUB,Denver
3528,Northern Maine Regional Airport at Presque Isle,Presque Isle,PQI,New York
3530,Gray Army Air Field,Fort Lewis,GRF,Los Angeles
3531,Kodiak Airport,Kodiak,ADQ,Anchorage
3532,Upolu Airport,Opolu,UPP,Pacific/Honolulu
3533,Fort Lauderdale Hollywood International Airport,Fort Lauderdale,FLL,New York
3534,Muskogee-Davis Regional Airport,Muskogee,\N,Chicago
3535,Falls International Airport,International Falls,INL,Chicago
3536,Salt Lake City International Airport,Salt Lake City,SLC,Denver
3537,Childress Municipal Airport,Childress,CDS,Chicago
3538,Keesler Air Force Base,Biloxi,BIX,Chicago
3539,Lawson Army Air Field (Fort Benning),Fort Benning,LSF,New York
3540,Kingsville Naval Air Station,Kingsville,NQI,Chicago
3541,Marshall Army Air Field,Fort Riley,FRI,Chicago
3542,Harrisburg International Airport,Harrisburg,MDT,New York
3543,Lincoln Airport,Lincoln,LNK,Chicago
3544,Capital City Airport,Lansing,LAN,New York
3545,Waimea Kohala Airport,Kamuela,MUE,Pacific/Honolulu
3546,Massena International Richards Field,Massena,MSS,New York
3547,Hickory Regional Airport,Hickory,HKY,New York
3548,Albert Whitted Airport,St. Petersburg,SPG,New York
3549,Page Field,Fort Myers,FMY,New York
3550,George Bush Intercontinental Houston Airport,Houston,IAH,Chicago
3551,Millinocket Municipal Airport,Millinocket,\N,New York
3552,Joint Base Andrews,Camp Springs,ADW,New York
3553,Smith Reynolds Airport,Winston-salem,INT,New York
3554,Southern California Logistics Airport,Victorville,VCV,Los Angeles
3555,Bob Sikes Airport,Crestview,CEW,Chicago
3556,Wheeler Sack Army Air Field,Fort Drum,\N,New York
3557,St Clair County International Airport,Port Huron,PHN,New York
3558,Meadows Field,Bakersfield,BFL,Los Angeles
3559,El Paso International Airport,El Paso,ELP,Denver
3560,Valley International Airport,Harlingen,HRL,Chicago
3561,Columbia Metropolitan Airport,Columbia,CAE,New York
3562,Davis Monthan Air Force Base,Tucson,DMA,Phoenix
3563,Pensacola Naval Air Station/Forrest Sherman Field,Pensacola,NPA,Chicago
3564,Pensacola Regional Airport,Pensacola,PNS,Chicago
3565,Grand Forks Air Force Base,Red River,RDR,Chicago
3566,William P Hobby Airport,Houston,HOU,Chicago
3567,Buckley Air Force Base,Buckley,BFK,Denver
3568,Northway Airport,Northway,ORT,Anchorage
3569,"Warren ""Bud"" Woods Palmer Municipal Airport",Palmer,PAQ,Anchorage
3570,Pittsburgh International Airport,Pittsburgh,PIT,New York
3571,Wiley Post Will Rogers Memorial Airport,Barrow,BRW,Anchorage
3572,Ellington Airport,Houston,EFD,Chicago
3573,Whidbey Island Naval Air Station (Ault Field),Whidbey Island,NUW,Los Angeles
3574,Alice International Airport,Alice,ALI,Chicago
3575,Moody Air Force Base,Valdosta,VAD,New York
3576,Miami International Airport,Miami,MIA,New York
3577,Seattle Tacoma International Airport,Seattle,SEA,Los Angeles
3578,Lovell Field,Chattanooga,CHA,New York
3579,Igor I Sikorsky Memorial Airport,Stratford,BDR,New York
3580,Jackson-Medgar Wiley Evers International Airport,Jackson,JAN,Chicago
3581,Scholes International At Galveston Airport,Galveston,GLS,Chicago
3582,Long Beach /Daugherty Field/ Airport,Long Beach,LGB,Los Angeles
3583,Dillingham Airfield,Dillingham,HDH,Pacific/Honolulu
3584,Williamsport Regional Airport,Williamsport,IPT,New York
3585,Indianapolis International Airport,Indianapolis,IND,New York
3586,Whiteman Air Force Base,Knobnoster,SZL,Chicago
3587,Akron Fulton International Airport,Akron,AKC,New York
3588,Greenwood–Leflore Airport,Greenwood,GWO,Chicago
3589,Westchester County Airport,White Plains,HPN,New York
3590,Francis S Gabreski Airport,West Hampton Beach,FOK,New York
3591,Jonesboro Municipal Airport,Jonesboro,JBR,Chicago
3592,Tonopah Test Range Airport,Tonopah,XSD,Los Angeles
3593,Palm Beach County Park Airport,West Palm Beach,LNA,New York
3594,North Island Naval Air Station-Halsey Field,San Diego,NZY,Los Angeles
3595,Biggs Army Air Field (Fort Bliss),El Paso,BIF,Denver
3596,Yuma MCAS/Yuma International Airport,Yuma,YUM,Phoenix
3597,Cavern City Air Terminal,Carlsbad,CNM,Denver
3598,Duluth International Airport,Duluth,DLH,Chicago
3599,Bethel Airport,Bethel,BET,Anchorage
3600,Bowman Field,Louisville,LOU,New York
3601,Sierra Vista Municipal Libby Army Air Field,Fort Huachuca,FHU,Phoenix
3602,Lihue Airport,Lihue,LIH,Pacific/Honolulu
3603,"Terre Haute Regional Airport, Hulman Field",Terre Haute,HUF,New York
3604,Havre City County Airport,Havre,HVR,Denver
3605,Grant County International Airport,Grant County Airport,MWH,Los Angeles
3606,Edward F Knapp State Airport,Montpelier,MPV,New York
3607,San Nicolas Island Nolf Airport,San Nicolas Island,\N,Los Angeles
3608,Richmond International Airport,Richmond,RIC,New York
3609,Shreveport Regional Airport,Shreveport,SHV,Chicago
3610,Merle K (Mudhole) Smith Airport,Cordova,CDV,Anchorage
3611,Norfolk International Airport,Norfolk,ORF,New York
3612,Southeast Texas Regional Airport,Beaumont,BPT,Chicago
3613,Savannah Hilton Head International Airport,Savannah,SAV,New York
3614,Hill Air Force Base,Ogden,HIF,Denver
3615,Nome Airport,Nome,OME,Anchorage
3616,Scappoose Industrial Airpark,San Luis,\N,Los Angeles
3617,St Petersburg Clearwater International Airport,St. Petersburg,PIE,New York
3618,Menominee Regional Airport,Macon,MNM,Chicago
3619,Conroe-North Houston Regional Airport,Conroe,CXO,Chicago
3620,Deadhorse Airport,Deadhorse,SCC,Anchorage
3621,San Antonio International Airport,San Antonio,SAT,Chicago
3622,Greater Rochester International Airport,Rochester,ROC,New York
3623,Patrick Air Force Base,Coco Beach,COF,New York
3624,Teterboro Airport,Teterboro,TEB,New York
3625,Ellsworth Air Force Base,Rapid City,RCA,Denver
3626,Raleigh Durham International Airport,Raleigh-durham,RDU,New York
3627,James M Cox Dayton International Airport,Dayton,DAY,New York
3628,Kenai Municipal Airport,Kenai,ENA,Anchorage
3629,Mc Alester Regional Airport,Mcalester,MLC,Chicago
3630,Niagara Falls International Airport,Niagara Falls,IAG,New York
3631,Coulter Field,Bryan,CFD,Chicago
3632,Wright AAF (Fort Stewart)/Midcoast Regional Airport,Wright,LIY,New York
3633,Newport News Williamsburg International Airport,Newport News,PHF,New York
3634,Esler Regional Airport,Alexandria,ESF,Chicago
3635,Altus Air Force Base,Altus,LTS,Chicago
3636,Tucson International Airport,Tucson,TUS,Phoenix
3637,Minot Air Force Base,Minot,MIB,Chicago
3638,Beale Air Force Base,Marysville,BAB,Los Angeles
3639,Greater Kankakee Airport,Kankakee,IKK,Chicago
3640,Seymour Johnson Air Force Base,Goldsboro,GSB,New York
3641,Theodore Francis Green State Airport,Providence,PVD,New York
3642,Salisbury Ocean City Wicomico Regional Airport,Salisbury,SBY,New York
3643,Rancho Murieta Airport,Rancho Murieta,\N,Los Angeles
3644,Bob Hope Airport,Burbank,BUR,Los Angeles
3645,Detroit Metropolitan Wayne County Airport,Detroit,DTW,New York
3646,Tampa International Airport,Tampa,TPA,New York
3647,Pembina Municipal Airport,Pembina,PMB,Chicago
3648,Polk Army Air Field,Fort Polk,POE,Chicago
3649,Eielson Air Force Base,Fairbanks,EIL,Anchorage
3650,Range Regional Airport,Hibbing,HIB,Chicago
3651,Angelina County Airport,Lufkin,LFK,Chicago
3652,Midland International Airport,Midland,MAF,Chicago
3653,Austin Straubel International Airport,Green Bay,GRB,Chicago
3654,Ardmore Municipal Airport,Ardmore,ADM,Chicago
3655,Mc Guire Air Force Base,Wrightstown,WRI,New York
3656,Cherry Point MCAS /Cunningham Field/,Cherry Point,\N,New York
3657,Emanuel County Airport,Santa Barbara,\N,New York
3658,Augusta Regional At Bush Field,Bush Field,AGS,New York
3659,Sloulin Field International Airport,Williston,ISN,Chicago
3660,Bill & Hillary Clinton National Airport/Adams Field,Little Rock,LIT,Chicago
3661,Stewart International Airport,Newburgh,SWF,New York
3662,Baudette International Airport,Baudette,BDE,Chicago
3663,Sacramento Executive Airport,Sacramento,SAC,Los Angeles
3664,Homer Airport,Homer,HOM,Anchorage
3665,Waynesville-St. Robert Regional Forney field,Fort Leonardwood,TBN,Chicago
3666,Dobbins Air Reserve Base,Marietta,MGE,New York
3667,Fairchild Air Force Base,Spokane,SKA,Los Angeles
3668,Roscommon County - Blodgett Memorial Airport,Houghton Lake,HTL,New York
3669,Tyndall Air Force Base,Panama City,PAM,Chicago
3670,Dallas Fort Worth International Airport,Dallas-Fort Worth,DFW,Chicago
3671,Melbourne International Airport,Melbourne,MLB,New York
3672,McChord Air Force Base,Tacoma,TCM,Los Angeles
3673,Austin Bergstrom International Airport,Austin,AUS,Chicago
3674,Rickenbacker International Airport,Columbus,LCK,New York
3675,Sawyer International Airport,Gwinn,MQT,New York
3676,McGhee Tyson Airport,Knoxville,TYS,New York
3677,Hood Army Air Field,Fort Hood,HLR,Chicago
3678,St Louis Lambert International Airport,St. Louis,STL,Chicago
3679,Millville Municipal Airport,Millville,MIV,New York
3680,Sheppard Air Force Base-Wichita Falls Municipal Airport,Wichita Falls,SPS,Chicago
3681,Cincinnati Municipal Airport Lunken Field,Cincinnati,LUK,New York
3682,Hartsfield Jackson Atlanta International Airport,Atlanta,ATL,New York
3683,Castle Airport,Merced,MER,Los Angeles
3684,Mc Clellan Airfield,Sacramento,MCC,Los Angeles
3685,Gerald R. Ford International Airport,Grand Rapids,GRR,New York
3686,Winkler County Airport,Wink,INK,Chicago
3687,Fresno Yosemite International Airport,Fresno,FAT,Los Angeles
3688,Vero Beach Regional Airport,Vero Beach,VRB,New York
3689,Imperial County Airport,Imperial,IPL,Los Angeles
3690,Nashville International Airport,Nashville,BNA,Chicago
3691,Laredo International Airport,Laredo,LRD,Chicago
3692,Elmendorf Air Force Base,Anchorage,EDF,Anchorage
3693,Ralph Wien Memorial Airport,Kotzebue,OTZ,Anchorage
3694,Altoona Blair County Airport,Altoona,AOO,New York
3695,Dyess Air Force Base,Abilene,DYS,Chicago
3696,South Arkansas Regional At Goodwin Field,El Dorado,ELD,Chicago
3697,La Guardia Airport,New York,LGA,New York
3698,Tallahassee Regional Airport,Tallahassee,TLH,New York
3699,Dupage Airport,West Chicago,DPA,Chicago
3700,Waco Regional Airport,Waco,ACT,Chicago
3701,Augusta State Airport,Augusta,AUG,New York
3702,Hillsboro Municipal Airport,Hillsboro,\N,Chicago
3703,Jacksonville Naval Air Station (Towers Field),Jacksonville,NIP,New York
3704,McKellar-Sipes Regional Airport,Jackson,MKL,Chicago
3705,Molokai Airport,Molokai,MKK,Pacific/Honolulu
3706,Godman Army Air Field,Fort Knox,FTK,New York
3707,New River MCAS /H/ /Mccutcheon Fld/ Airport,Jacksonville,\N,New York
3708,San Angelo Regional Mathis Field,San Angelo,SJT,Chicago
3709,Calexico International Airport,Calexico,CXL,Los Angeles
3710,Chico Municipal Airport,Chico,CIC,Los Angeles
3711,Burlington International Airport,Burlington,BTV,New York
3712,Jacksonville International Airport,Jacksonville,JAX,New York
3713,Durango La Plata County Airport,Durango,DRO,Denver
3714,Washington Dulles International Airport,Washington,IAD,New York
3715,Easterwood Field,College Station,CLL,Chicago
3716,Felts Field,Spokane,SFF,Los Angeles
3717,General Mitchell International Airport,Milwaukee,MKE,Chicago
3718,Abilene Regional Airport,Abilene,ABI,Chicago
3719,Columbia Regional Airport,Columbia,COU,Chicago
3720,Portland International Airport,Portland,PDX,Los Angeles
3721,Dade Collier Training and Transition Airport,Miami,TNT,New York
3722,Palm Beach International Airport,West Palm Beach,PBI,New York
3723,Fort Worth Meacham International Airport,Fort Worth,FTW,Chicago
3724,Ogdensburg International Airport,Ogdensburg,OGS,New York
3725,Cape Cod Coast Guard Air Station,Falmouth,FMH,New York
3726,Boeing Field King County International Airport,Seattle,BFI,Los Angeles
3727,Lackland Air Force Base,San Antonio,SKF,Chicago
3728,Daniel K Inouye International Airport,Honolulu,HNL,Pacific/Honolulu
3729,Des Moines International Airport,Des Moines,DSM,Chicago
3730,Coastal Carolina Regional Airport,New Bern,EWN,New York
3731,San Diego International Airport,San Diego,SAN,Los Angeles
3732,Monroe Regional Airport,Monroe,MLU,Chicago
3733,Shaw Air Force Base,Sumter,SSC,New York
3734,Ontario International Airport,Ontario,ONT,Los Angeles
3735,Majors Airport,Greenvile,GVT,Chicago
3736,Roswell International Air Center Airport,Roswell,ROW,Denver
3737,Coleman A. Young Municipal Airport,Detroit,DET,New York
3738,Brownsville South Padre Island International Airport,Brownsville,BRO,Chicago
3739,Dothan Regional Airport,Dothan,DHN,Chicago
3740,Cape May County Airport,Wildwood,WWD,New York
3741,Fallon Naval Air Station,Fallon,NFL,Los Angeles
3742,Selfridge Air National Guard Base Airport,Mount Clemens,MTC,New York
3743,Four Corners Regional Airport,Farmington,FMN,Denver
3744,Corpus Christi International Airport,Corpus Christi,CRP,Chicago
3745,Syracuse Hancock International Airport,Syracuse,SYR,New York
3746,Naval Air Station Key West/Boca Chica Field,Key West,NQX,New York
3747,Chicago Midway International Airport,Chicago,MDW,Chicago
3748,Norman Y. Mineta San Jose International Airport,San Jose,SJC,Los Angeles
3749,Lea County Regional Airport,Hobbs,HOB,Denver
3750,Northeast Philadelphia Airport,Philadelphia,PNE,New York
3751,Denver International Airport,Denver,DEN,Denver
3752,Philadelphia International Airport,Philadelphia,PHL,New York
3753,Sioux Gateway Col. Bud Day Field,Sioux City,SUX,Chicago
3754,Middle Georgia Regional Airport,Macon,MCN,New York
3755,Truth Or Consequences Municipal Airport,Truth Or Consequences,TCS,Denver
3756,Palmdale Regional/USAF Plant 42 Airport,Palmdale,PMD,Los Angeles
3757,Randolph Air Force Base,San Antonio,RND,Chicago
3758,El Centro NAF Airport (Vraciu Field),El Centro,NJK,Los Angeles
3759,John Glenn Columbus International Airport,Columbus,CMH,New York
3760,Drake Field,Fayetteville,FYV,Chicago
3761,Henry Post Army Air Field (Fort Sill),Fort Sill,FSI,Chicago
3762,Princeton Municipal Airport,Princeton,\N,Chicago
3763,Wright-Patterson Air Force Base,Dayton,FFO,New York
3764,Edward G. Pitka Sr Airport,Galena,GAL,Anchorage
3765,Chandler Municipal Airport,Chandler,\N,Phoenix
3766,Mineral Wells Airport,Mineral Wells,MWL,Chicago
3767,Mc Connell Air Force Base,Wichita,IAB,Chicago
3768,New Orleans NAS JRB/Alvin Callender Field,New Orleans,NBG,Chicago
