id,name,city,iata,region
3769,Beaufort County Airport,Beaufort,BFT,New York
3770,Texarkana Regional Webb Field,Texarkana,TXK,Chicago
3771,Plattsburgh International Airport,Plattsburgh,PBG,New York
3772,Phillips Army Air Field,Aberdeen,APG,New York
3773,Tucumcari Municipal Airport,Tucumcari,TCC,Denver
3774,Ted Stevens Anchorage International Airport,Anchorage,ANC,Anchorage
3775,Robert Gray  Army Air Field Airport,Killeen,GRK,Chicago
3776,Black Rock Airport,Zuni Pueblo,\N,Denver
3777,Bellingham International Airport,Bellingham,BLI,Los Angeles
3778,Millington-Memphis Airport,Millington,NQA,Chicago
3779,Elkins-Randolph Co-Jennings Randolph Field,Elkins,EKN,New York
3780,Hartford Brainard Airport,Hartford,HFD,New York
3781,North Central State Airport,Smithfield,SFZ,New York
3782,Mobile Regional Airport,Mobile,MOB,Chicago
3783,Moffett Federal Airfield,Mountain View,NUQ,Los Angeles
3784,Santa Fe Municipal Airport,Santa Fe,SAF,Denver
3785,Barking Sands Airport,Barking Sands,BKH,Pacific/Honolulu
3786,Beauregard Regional Airport,Deridder,DRI,Chicago
3787,Bradshaw Army Airfield,Bradshaw Field,BSF,Pacific/Honolulu
3788,Nogales International Airport,Nogales,OLS,Phoenix
3789,Mac Dill Air Force Base,Tampa,MCF,New York
3790,Scott AFB/Midamerica Airport,Belleville,BLV,Chicago
3791,Opa-locka Executive Airport,Miami,OPF,New York
3792,Del Rio International Airport,Del Rio,DRT,Chicago
3793,Southwest Florida International Airport,Fort Myers,RSW,New York
3794,King Salmon Airport,King Salmon,AKN,Anchorage
3795,Muir Army Air Field (Fort Indiantown Gap) Airport,Muir,MUI,New York
3796,Kapalua Airport,Lahania-kapalua,JHM,Pacific/Honolulu
3797,John F Kennedy International Airport,New York,JFK,New York
3798,Homestead ARB Airport,Homestead,HST,New York
3799,Riverside Municipal Airport,Riverside,RAL,Los Angeles
3800,Sherman Army Air Field,Fort Leavenworth,FLV,Chicago
3801,Wallops Flight Facility Airport,Wallops Island,WAL,New York
3802,Holloman Air Force Base,Alamogordo,HMN,Denver
3803,Willow Grove Naval Air Station/Joint Reserve Base,Willow Grove,NXX,New York
3804,Cheyenne Regional Jerry Olson Field,Cheyenne,CYS,Denver
3805,Stockton Metropolitan Airport,Stockton,SCK,Los Angeles
3806,Charleston Air Force Base-International Airport,Charleston,CHS,New York
3807,Reno Tahoe International Airport,Reno,RNO,Los Angeles
3808,Ketchikan International Airport,Ketchikan,KTN,Anchorage
3809,Willow Run Airport,Detroit,YIP,New York
3810,Vandenberg Air Force Base,Lompoc,VBG,Los Angeles
3811,Birmingham-Shuttlesworth International Airport,Birmingham,BHM,Chicago
3812,Lakehurst Maxfield Field Airport,Lakehurst,NEL,New York
3813,Eareckson Air Station,Shemya,SYA,Adak
3814,Nellis Air Force Base,Las Vegas,LSV,Los Angeles
3815,March ARB Airport,Riverside,RIV,Los Angeles
3816,Modesto City Co-Harry Sham Field,Modesto,MOD,Los Angeles
3817,Sacramento International Airport,Sacramento,SMF,Los Angeles
3818,Waukegan National Airport,Chicago,UGN,Chicago
3819,City of Colorado Springs Municipal Airport,Colorado Springs,COS,Denver
3820,Buffalo Niagara International Airport,Buffalo,BUF,New York
3821,Griffing Sandusky Airport,Sandusky,SKY,New York
3822,Snohomish County (Paine Field) Airport,Everett,PAE,Los Angeles
3823,Mountain Home Air Force Base,Mountain Home,MUO,Denver
3824,Cedar City Regional Airport,Cedar City,CDC,Denver
3825,Bradley International Airport,Windsor Locks,BDL,New York
3826,Mc Allen Miller International Airport,Mcallen,MFE,Chicago
3827,Norfolk Naval Station (Chambers Field),Norfolk,NGU,New York
3828,Westover ARB/Metropolitan Airport,Chicopee Falls,CEF,New York
3829,Lubbock Preston Smith International Airport,Lubbock,LBB,Chicago
3830,Chicago O'Hare International Airport,Chicago,ORD,Chicago
3831,Boca Raton Airport,Boca Raton,BCT,New York
3832,Fairbanks International Airport,Fairbanks,FAI,Anchorage
3833,Quantico MCAF /Turner field,Quantico,\N,New York
3834,Cannon Air Force Base,Clovis,CVS,Denver
3835,Kaneohe Bay MCAS (Marion E. Carl Field) Airport,Kaneohe Bay,NGF,Pacific/Honolulu
3836,Offutt Air Force Base,Omaha,OFF,Chicago
3837,Gulkana Airport,Gulkana,GKN,Anchorage
3838,Watertown International Airport,Watertown,ART,New York
3839,Palm Springs International Airport,Palm Springs,PSP,Los Angeles
3840,Rick Husband Amarillo International Airport,Amarillo,AMA,Chicago
3841,Fort Dodge Regional Airport,Fort Dodge,FOD,Chicago
3842,Barksdale Air Force Base,Shreveport,BAD,Chicago
3843,Topeka Regional Airport - Forbes Field,Topeka,FOE,Chicago
3844,Cotulla-La Salle County Airport,Cotulla,COT,Chicago
3845,Wilmington International Airport,Wilmington,ILM,New York
3846,Baton Rouge Metropolitan Airport,Baton Rouge,BTR,Chicago
3847,Meridian Naval Air Station,Meridian,\N,Chicago
3848,Tyler Pounds Regional Airport,Tyler,TYR,Chicago
3849,Baltimore/Washington International Thurgood Marshall Airport,Baltimore,BWI,New York
3850,Hobart Regional Airport,Hobart,HBR,Chicago
3851,Lanai Airport,Lanai,LNY,Pacific/Honolulu
3852,Alexandria International Airport,Alexandria,AEX,Chicago
3853,Condron Army Air Field,White Sands,WSD,Denver
3854,Cold Bay Airport,Cold Bay,CDB,Anchorage
3855,Tulsa International Airport,Tulsa,TUL,Chicago
3856,Sitka Rocky Gutierrez Airport,Sitka,SIT,Anchorage
3857,Long Island Mac Arthur Airport,Islip,ISP,New York
3858,Minneapolis-St Paul International/Wold-Chamberlain Airport,Minneapolis,MSP,Chicago
3859,New Castle Airport,Wilmington,ILG,New York
3860,Unalaska Airport,Unalaska,DUT,Anchorage
3861,Louis Armstrong New Orleans International Airport,New Orleans,MSY,Chicago
3862,Portland International Jetport Airport,Portland,PWM,New York
3863,Will Rogers World Airport,Oklahoma City,OKC,Chicago
3864,Albany International Airport,Albany,ALB,New York
3865,Valdez Pioneer Field,Valdez,VDZ,Anchorage
3866,Langley Air Force Base,Hampton,LFI,New York
3867,John Wayne Airport-Orange County Airport,Santa Ana,SNA,Los Angeles
3868,Columbus Air Force Base,Colombus,CBM,Chicago
3869,Kendall-Tamiami Executive Airport,Kendall-tamiami,TMB,New York
3870,Oceana Naval Air Station,Oceana,NTU,New York
3871,Grissom Air Reserve Base,Peru,GUS,New York
3872,Casper-Natrona County International Airport,Casper,CPR,Denver
3873,Destin-Ft Walton Beach Airport,Valparaiso,VPS,Chicago
3874,Craig Field,Selma,SEM,Chicago
3875,Key West International Airport,Key West,EYW,New York
3876,Charlotte Douglas International Airport,Charlotte,CLT,New York
3877,McCarran International Airport,Las Vegas,LAS,Los Angeles
3878,Orlando International Airport,Orlando,MCO,New York
3879,Florence Regional Airport,Florence,FLO,New York
3880,Great Falls International Airport,Great Falls,GTF,Denver
3881,Youngstown Warren Regional Airport,Youngstown,YNG,New York
3882,Ladd AAF Airfield,Fort Wainwright,FBK,Anchorage
3883,Mc Minnville Municipal Airport,Mackminnville,\N,Los Angeles
3884,Robins Air Force Base,Macon,WRB,New York
3944,Pullman Moscow Regional Airport,Pullman,PUW,Los Angeles
3945,Lewiston Nez Perce County Airport,Lewiston,LWS,Los Angeles
3946,Elmira Corning Regional Airport,Elmira,ELM,New York
3947,Ithaca Tompkins Regional Airport,Ithaca,ITH,New York
3948,Monterey Peninsula Airport,Monterey,MRY,Los Angeles
3949,Santa Barbara Municipal Airport,Santa Barbara,SBA,Los Angeles
3950,Daytona Beach International Airport,Daytona Beach,DAB,New York
3993,Downtown-Manhattan/Wall St Heliport,New York,JRB,New York
4004,Talkeetna Airport,Talkeetna,TKA,Anchorage
4006,Tweed New Haven Airport,New Haven,HVN,New York
4007,Asheville Regional Airport,Asheville,AVL,New York
4008,Piedmont Triad International Airport,Greensboro,GSO,New York
4009,Joe Foss Field Airport,Sioux Falls,FSD,Chicago
4011,Manchester-Boston Regional Airport,Manchester NH,MHT,New York
4012,Naples Municipal Airport,Naples,APF,New York
4014,Louisville International Standiford Field,Louisville,SDF,New York
4015,Charlottesville Albemarle Airport,Charlottesville VA,CHO,New York
4016,Roanoke–Blacksburg Regional Airport,Roanoke VA,ROA,New York
4017,Blue Grass Airport,Lexington KY,LEX,New York
4018,Evansville Regional Airport,Evansville,EVV,Chicago
4019,Albuquerque International Sunport,Albuquerque,ABQ,Denver
4020,Gallatin Field,Bozeman,BZN,Denver
4021,Billings Logan International Airport,Billings,BIL,Denver
4022,Bert Mooney Airport,Butte,BTM,Denver
4023,Cherry Capital Airport,Traverse City,TVC,New York
4025,Hancock County-Bar Harbor Airport,Bar Harbor,BHB,New York
4026,Knox County Regional Airport,Rockland,RKD,New York
4027,Jackson Hole Airport,Jacksn Hole,JAC,Denver
4028,Chicago Rockford International Airport,Rockford,RFD,Chicago
4034,Greenville Spartanburg International Airport,Greenville,GSP,New York
4037,Central Illinois Regional Airport at Bloomington-Normal,Bloomington,BMI,Chicago
4038,Gulfport Biloxi International Airport,Gulfport,GPT,Chicago
4039,Kalamazoo Battle Creek International Airport,Kalamazoo,AZO,New York
4040,Toledo Express Airport,Toledo,TOL,New York
4041,Fort Wayne International Airport,Fort Wayne,FWA,New York
4042,Decatur Airport,Decatur,DEC,Chicago
4043,The Eastern Iowa Airport,Cedar Rapids,CID,Chicago
4044,La Crosse Municipal Airport,La Crosse,LSE,Chicago
4045,Central Wisconsin Airport,Wassau,CWA,Chicago
4046,General Wayne A. Downing Peoria International Airport,Peoria,PIA,Chicago
4047,Appleton International Airport,Appleton,ATW,Chicago
4048,Rochester International Airport,Rochester,RST,Chicago
4049,University of Illinois Willard Airport,Champaign,CMI,Chicago
4050,Manhattan Regional Airport,Manhattan,MHK,Chicago
4058,Venango Regional Airport,Franklin,FKL,New York
4063,Grand Junction Regional Airport,Grand Junction,GJT,Denver
4064,St George Municipal Airport,Saint George,SGU,Denver
4065,David Wayne Hooks Memorial Airport,Houston,DWH,Chicago
4066,Port O'Connor Private Heliport,Port O\'Connor,\N,Chicago
4067,Sarasota Bradenton International Airport,Sarasota,SRQ,New York
4071,Van Nuys Airport,Van Nuys,VNY,Los Angeles
4072,Quad City International Airport,Moline,MLI,Chicago
4073,Panama City-Bay Co International Airport,Panama City,PFN,Chicago
4083,Bismarck Municipal Airport,Bismarck,BIS,Chicago
4084,Telluride Regional Airport,Telluride,TEX,Denver
4087,Rapid City Regional Airport,Rapid City,RAP,Denver
4088,Mc Clellan-Palomar Airport,Carlsbad,CLD,Los Angeles
4089,Bishop International Airport,Flint,FNT,New York
4098,Redding Municipal Airport,Redding,RDD,Los Angeles
4099,Mahlon Sweet Field,Eugene,EUG,Los Angeles
4100,Idaho Falls Regional Airport,Idaho Falls,IDA,Denver
4101,Rogue Valley International Medford Airport,Medford,MFR,Los Angeles
4103,Roberts Field,Redmond-Bend,RDM,Los Angeles
4112,Akron Canton Regional Airport,Akron,CAK,New York
4113,Huntsville International Carl T Jones Field,Huntsville,HSV,Chicago
4114,Mid Ohio Valley Regional Airport,PARKERSBURG,PKB,New York
4115,Montgomery Regional (Dannelly Field) Airport,MONTGOMERY,MGM,Chicago
4116,Tri-Cities Regional TN/VA Airport,BRISTOL,TRI,New York
4117,Barkley Regional Airport,PADUCAH,PAH,Chicago
4124,Page Municipal Airport,Page,PGA,Phoenix
4127,Glacier Park International Airport,Kalispell,FCA,Denver
4128,MBS International Airport,Saginaw,MBS,New York
4129,Greater Binghamton/Edwin A Link field,Binghamton,BGM,New York
4136,Blythe Airport,Blythe,BLH,Los Angeles
4147,Petersburg James A Johnson Airport,Petersburg,PSG,Anchorage
4167,Orlando Sanford International Airport,Sanford,SFB,New York
4169,John Murtha Johnstown Cambria County Airport,Johnstown,JST,New York
4216,Missoula International Airport,Missoula,MSO,Denver
4219,Grand Canyon National Park Airport,Grand Canyon,GCN,Phoenix
4220,Sugar Land Regional Airport,Sugar Land,SGR,Chicago
4222,Centennial Airport,Denver,APA,Denver
4223,Clovis Municipal Airport,Clovis,CVN,Denver
4224,Fort Stockton Pecos County Airport,Fort Stockton,FST,Chicago
4225,Las Vegas Municipal Airport,Las Vegas,LVS,Denver
4226,West Houston Airport,Houston,IWS,Chicago
4227,La Junta Municipal Airport,La Junta,\N,Denver
4228,Las Cruces International Airport,Las Cruces,LRU,Denver
4229,Stephens County Airport,Breckenridge,BKD,Chicago
4230,Draughon Miller Central Texas Regional Airport,Temple,TPL,Chicago
4231,Ozona Municipal Airport,Ozona,OZA,Chicago
4250,Eagle County Regional Airport,Vail,EGE,Denver
4253,Cuyahoga County Airport,Richmond Heights,CGF,New York
4254,Mansfield Lahm Regional Airport,Mansfield,MFD,New York
4255,Columbus Metropolitan Airport,Columbus,CSG,New York
4256,Lawton Fort Sill Regional Airport,Lawton,LAW,Chicago
4257,Northern Colorado Regional Airport,Fort Collins,FNL,Denver
4261,Flagstaff Pulliam Airport,Flagstaff,FLG,Phoenix
4262,Lake Tahoe Airport,South Lake Tahoe,TVL,Los Angeles
4263,Joslin Field Magic Valley Regional Airport,Twin Falls,TWF,Denver
4265,Martha's Vineyard Airport,Vineyard Haven MA,MVY,New York
4268,Concord Municipal Airport,Concord NH,CON,New York
4270,Groton New London Airport,Groton CT,GON,New York
4271,St Cloud Regional Airport,Saint Cloud,STC,Chicago
4273,Golden Triangle Regional Airport,Columbus Mississippi,GTR,Chicago
4275,Bowerman Airport,Hoquiam,HQM,Los Angeles
4276,Erie International Tom Ridge Field,Erie,ERI,New York
4278,Barnstable Municipal Boardman Polando Field,Barnstable,HYA,New York
4280,Sedona Airport,Sedona,SDX,Phoenix
4284,Morgantown Municipal Walter L. Bill Hart Field,Morgantown,MGW,New York
4285,Yeager Airport,Charleston,CRW,New York
4286,Wilkes Barre Scranton International Airport,Scranton,AVP,New York
4287,Bemidji Regional Airport,Bemidji,BJI,Chicago
4292,Hector International Airport,Fargo,FAR,Chicago
4293,Charles B. Wheeler Downtown Airport,Kansas City,MKC,Chicago
4296,Gillette Campbell County Airport,Gillette,GCC,Denver
4298,El Toro Marine Corps Air Station,Santa Ana,NZJ,Los Angeles
4318,University Park Airport,State College Pennsylvania,SCE,New York
4335,Key Field,Meridian,MEI,Chicago
4336,Abraham Lincoln Capital Airport,Springfield,SPI,Chicago
4338,Cortez Municipal Airport,Cortez,CEZ,Denver
4339,Yampa Valley Airport,Hayden,HDN,Denver
4340,Gallup Municipal Airport,Gallup,GUP,Denver
4341,Liberal Mid-America Regional Airport,Liberal,LBL,Chicago
4342,Lamar Municipal Airport,Lamar,LAA,Denver
4343,Renner Field-Goodland Municipal Airport,Goodland,GLD,Denver
4344,Yellowstone Regional Airport,Cody,COD,Denver
4348,Springfield Branson National Airport,Springfield,SGF,Chicago
4354,Joplin Regional Airport,Joplin,JLN,Chicago
4355,Lehigh Valley International Airport,Allentown,ABE,New York
4356,Northwest Arkansas Regional Airport,Bentonville,XNA,Chicago
4359,South Bend Regional Airport,South Bend,SBN,New York
4383,Smith Field,Fort Wayne IN,SMD,New York
4384,California Redwood Coast-Humboldt County Airport,Arcata CA,ACV,Los Angeles
4386,Albert J Ellis Airport,Jacksonville NC,OAJ,New York
4387,Tuscaloosa Regional Airport,Tuscaloosa AL,TCL,Chicago
4388,Dubuque Regional Airport,Dubuque IA,DBQ,Chicago
5714,Aberdeen Regional Airport,Aberdeen,ABR,Chicago
5715,Southwest Georgia Regional Airport,Albany,ABY,New York
5716,Athens Ben Epps Airport,Athens,AHN,New York
5717,Alamogordo White Sands Regional Airport,Alamogordo,ALM,Denver
5718,Waterloo Regional Airport,Waterloo,ALO,Chicago
5719,Walla Walla Regional Airport,Walla Walla,ALW,Los Angeles
5720,Alpena County Regional Airport,Alpena,APN,New York
5721,Watertown Regional Airport,Watertown,ATY,Chicago
5722,Bradford Regional Airport,Bradford,BFD,New York
5723,Western Neb. Rgnl/William B. Heilig Airport,Scottsbluff,BFF,Denver
5724,Raleigh County Memorial Airport,Beckley,BKW,New York
5725,Brunswick Golden Isles Airport,Brunswick,BQK,New York
5726,Southeast Iowa Regional Airport,Burlington,BRL,Chicago
5727,Jack Mc Namara Field Airport,Crescent City,CEC,Los Angeles
5728,Cape Girardeau Regional Airport,Cape Girardeau,CGI,Chicago
5729,Chippewa County International Airport,Sault Ste Marie,CIU,New York
5730,North Central West Virginia Airport,Clarksburg,CKB,New York
5731,William R Fairchild International Airport,Port Angeles,CLM,Los Angeles
5732,Houghton County Memorial Airport,Hancock,CMX,New York
5733,Dodge City Regional Airport,Dodge City,DDC,Chicago
5734,DuBois Regional Airport,Du Bois,DUJ,New York
5735,Chippewa Valley Regional Airport,Eau Claire,EAU,Chicago
5736,Elko Regional Airport,Elko,EKO,Los Angeles
5737,New Bedford Regional Airport,New Bedford,EWB,New York
5738,Fayetteville Regional Grannis Field,Fayetteville,FAY,New York
5739,Wokal Field Glasgow International Airport,Glasgow,GGW,Denver
5740,Central Nebraska Regional Airport,Grand Island,GRI,Chicago
5741,Memorial Field,Hot Springs,HOT,Chicago
5742,Tri-State/Milton J. Ferguson Field,Huntington,HTS,New York
5744,Kirksville Regional Airport,Kirksville,IRK,Chicago
5745,Jamestown Regional Airport,Jamestown,JMS,Chicago
5746,Laramie Regional Airport,Laramie,LAR,Denver
5747,Arnold Palmer Regional Airport,Latrobe,LBE,New York
5748,North Platte Regional Airport Lee Bird Field,North Platte,LBF,Chicago
5749,Lebanon Municipal Airport,Lebanon,LEB,New York
5750,Crater Lake-Klamath Regional Airport,Klamath Falls,LMT,Los Angeles
5751,Lancaster Airport,Lancaster,LNS,New York
5752,Lewistown Municipal Airport,Lewistown,LWT,Denver
5753,Lynchburg Regional Preston Glenn Field,Lynchburg,LYH,New York
5754,Muskegon County Airport,Muskegon,MKG,New York
5755,Frank Wiley Field,Miles City,MLS,Denver
5756,Northwest Alabama Regional Airport,Muscle Shoals,MSL,Chicago
5757,Southwest Oregon Regional Airport,North Bend,OTH,Los Angeles
5758,Owensboro Daviess County Airport,Owensboro,OWB,Chicago
5759,Hattiesburg Laurel Regional Airport,Hattiesburg/Laurel,PIB,Chicago
5760,Pocatello Regional Airport,Pocatello,PIH,Denver
5761,Pierre Regional Airport,Pierre,PIR,Chicago
5762,Pellston Regional Airport of Emmet County Airport,Pellston,PLN,New York
5763,Portsmouth International at Pease Airport,Portsmouth,PSM,New York
5764,Reading Regional Carl A Spaatz Field,Reading,RDG,New York
5765,Rhinelander Oneida County Airport,Rhinelander,RHI,Chicago
5766,Southwest Wyoming Regional Airport,Rock Springs,RKS,Denver
5767,Rutland - Southern Vermont Regional Airport,Rutland,RUT,New York
5768,San Luis County Regional Airport,San Luis Obispo,SBP,Los Angeles
5769,Sheridan County Airport,Sheridan,SHR,Denver
5770,Adirondack Regional Airport,Saranac Lake,SLK,New York
5771,Salina Municipal Airport,Salina,SLN,Chicago
5772,Santa Maria Pub/Capt G Allan Hancock Field,Santa Maria,SMX,Los Angeles
5773,Tupelo Regional Airport,Tupelo,TUP,Chicago
5774,Quincy Regional Baldwin Field,Quincy,UIN,Chicago
5775,Victoria Regional Airport,Victoria,VCT,Chicago
5776,Valdosta Regional Airport,Valdosta,VLD,New York
5777,Worland Municipal Airport,Worland,WRL,Denver
5779,Yakima Air Terminal McAllister Field,Yakima,YKM,Los Angeles
5959,Adak Airport,Adak Island,ADK,Adak
5960,Gustavus Airport,Gustavus,GST,Anchorage
5961,Skagway Airport,Skagway,SGY,Anchorage
5962,Holy Cross Airport,Holy Cross,HCR,Anchorage
5963,Haines Airport,Haines,HNS,Anchorage
5964,Kalskag Airport,Kalskag,KLG,Anchorage
5965,McGrath Airport,Mcgrath,MCG,Anchorage
5966,Mountain Village Airport,Mountain Village,MOU,Anchorage
5967,Aniak Airport,Aniak,ANI,Anchorage
5968,Chevak Airport,Chevak,VAK,Anchorage
5969,Wrangell Airport,Wrangell,WRG,Anchorage
5989,Kalaupapa Airport,Molokai,LUP,Pacific/Honolulu
6126,Aleknagik / New Airport,Aleknagik,WKK,Anchorage
6128,Mercer County Airport,Bluefield,BLF,New York
6130,Mid Delta Regional Airport,Greenville,GLH,Chicago
6133,Tri Cities Airport,Pasco,PSC,Los Angeles
6134,Akutan Seaplane Base,Akutan,KQA,Anchorage
6136,Lopez Island Airport,Lopez,LPS,Los Angeles
6415,Waikoloa Heliport,Waikoloa Village,WKL,Pacific/Honolulu
6426,Worcester Regional Airport,Worcester,ORH,New York
6445,Bremerton National Airport,Bremerton,PWT,Los Angeles
6446,Spencer Municipal Airport,Spencer,SPW,Chicago
6447,Jefferson City Memorial Airport,Jefferson City,JEF,Chicago
6456,Provincetown Municipal Airport,Provincetown,PVC,New York
6481,Fullerton Municipal Airport,Fullerton,FUL,Los Angeles
6482,Concord-Padgett Regional Airport,Concord,USA,New York
6494,Friedman Memorial Airport,Hailey,SUN,Denver
6500,Mason City Municipal Airport,Mason City,MCW,Chicago
6505,Phoenix-Mesa-Gateway Airport,Mesa,AZA,Phoenix
6712,Anaktuvuk Pass Airport,Anaktuvuk Pass,AKP,Anchorage
6713,Anvik Airport,Anvik,ANV,Anchorage
6714,Atqasuk Edward Burnell Sr Memorial Airport,Atqasuk,ATK,Anchorage
6715,Gambell Airport,Gambell,GAM,Anchorage
6716,Hooper Bay Airport,Hooper Bay,HPB,Anchorage
6717,Kaltag Airport,Kaltag,KAL,Anchorage
6718,St Mary's Airport,St Mary's,KSM,Anchorage
6719,Kivalina Airport,Kivalina,KVL,Anchorage
6720,Mekoryuk Airport,Mekoryuk,MYU,Anchorage
6722,Ruby Airport,Ruby,RBY,Anchorage
6723,Shishmaref Airport,Shishmaref,SHH,Anchorage
6724,Savoonga Airport,Savoonga,SVA,Anchorage
6725,Noatak Airport,Noatak,WTK,Anchorage
6729,Arctic Village Airport,Arctic Village,ARC,Anchorage
